Puzzle	Solution
0321003004002100	4321123434122143
1400000032104020	1432234132144123
0010000402400421	4312213412433421
0300210000011043	4312213434211243
0102203040001020	3142243142131324
0132030100001020	4132234132141423
1400020000434020	1432321421434321
0000430204300104	1243431224313124
1200340101400000	1234342121434312
2000030204001203	2134431234211243
0020320143020000	1423324143122134
4002010000043420	4312214312343421
2430104000130000	2431134242133124
0100200143100040	3124243143121243
1400200402400020	1432231432414123
0402103020030020	3412123421434321
1003020001304002	1423324121344312
0310100000202043	4312123434212143
0204402003000031	3214412313422431
0014002040002041	3214142341322341
3120020300000041	3124421314322341
0030000203010123	1234341223414123
4003010203002001	4213314213242431
0000004234200130	4213134234212134
0200400203040013	3241413213242413
2030102400000042	2431132442133142
0000010202401403	2314413232411423
0014010004010042	3214412324311342
0230400030122000	1234432134122143
4301010300300004	4321214314323214
4003002000302041	4213312414322341
0010200002300321	3412214312344321
2000013200041020	2341413232141423
0010040043202040	3214143243212143
2100300012300002	2143342112344312
3004000214030300	3214413214232341
0000210403100240	3421213443121243
0200300241002040	1234341241232341
0040000210200314	3241413214232314
0203300000410402	4213312423411432
0243430000120000	1243432134122134
0004030014230001	2134431214233241
0320003120003010	1324423121433412
0300024320300002	4321124321343412
0003401004001230	2143431234211234
0012204003001200	3412214343211234
0143002000303200	2143432114323214
3410000020304300	3412124321344321
0040300201340020	1243341221344321
2003030201040030	2413134231244231
2041103030200000	2341143231244213
2003302040310000	2413312442311342
0342000100004013	1342243131244213
1003024003004030	1423324123144132
0040400102101030	2143432132141432
2401000410000210	2431312413424213
0203300041002004	1243342141322314
2000314210000010	2431314213244213
1024000342000002	1324241342313142
4020030000323001	4123231414323241
0430021020004100	1432321423414123
0040030202340001	2143431212343421
0200401200033020	1234431221433421
3200010200411000	3214413223411423
0001004002031304	2431314242131324
0043002140002100	1243342143122134
3401000301004002	3421124321344312
0300213000200041	4312213414233241
2004040001233000	2314143241233241
2000402000023041	2314412314323241
1002000321000021	1342421321343421
1400300000030341	1432321441232341
0200004024300104	4213134224313124
4013030000003140	4213132424313142
0100403020030042	3124423124131342
0020230110043000	4123234112343412
4023031000400002	4123231432411432
0200403000101403	3241413223141423
0400210000200231	3412214313244231
0034000120400410	1234432121433412
0430000403012100	1432321443212143
1030300000120043	1234342143122143
0241000320041000	3241412323141432
3410000000202140	3412123443212143
0203004221000400	4213134221343421
2000304203004030	2413314213244231
4003130001200400	4213134231242431
0132031030000020	4132231432411423
0042001030012030	1342421334212134
0403102030004200	2413132431424231
0000320413002030	4123321413422431
2000042331000001	2314142331424231
0000140002013102	2314142342313142
0104430000403002	2134432112433412
2004010010033040	2314413214233241
0031134024000000	4231134224133124
0120204130040000	4123234132141432
4310000300200230	4312214334211234
0000012010043410	2341412312343412
1403200400004200	1423231431424231
4002000001033021	4312123421433421
0320000330024001	1324241331424231
0302400100003104	1342423124133124
4003200104300010	4123234114323214
2004340200210000	2134341243211243
3100040000131002	3124243142131342
1034002100002400	1234432131422413
0000020103140430	4123324123141432
1023000130040100	1423234132144132
0142020100000310	3142423114232314
2400000202010320	2413314242311324
0200103020030301	3214143221434321
3020000003022103	3421123443122143
2004010012403000	2314413212433421
0304021030420000	1324421331422431
2000001203201030	2143341243211234
2034042000004200	2134342113424213
2340000314000200	2341412314323214
2400104202000003	2431134232144123
4030020100041003	4132324123141423
0400024303102000	3421124343122134
0000041330404002	1324241332414132
4230010000001420	4231314223141423
0400100041200301	3412123441232341
0402004000311004	3412214342311324
0001040242100020	2341143242133124
0002400301002031	1342421331242431
0003041000301320	2143341242311324
0000040340011230	3142241343211234
0314000002004130	2314142332414132
3021200440030000	3421213442131342
1002043002103000	1342243142133124
1000200440203200	1432231441233241
0200100201002310	3241143241232314
0140030130020004	2143432134121234
4020324004300000	4123324114322314
0024000040310302	3124241342311342
0020040000320241	1324241341323241
3201000004020304	3241412314322314
0000340003212030	1243341243212134
1003200032400100	1423231432414132
4100004000032304	4132324114232314
0032301410000001	4132321414232341
0300003204203004	2341413214233214
2000314000010034	2413314243211234
0200400200030324	3241413224131324
0024000103024003	3124243113424213
0400302042101000	2431312442131342
0314012000410000	2314412332411432
3102403000100003	3142423123141423
0100200340300024	3142241342311324
0201000040022304	3241142341322314
0040140003140020	3241143223144123
0020000440313100	1423231442313142
0002000412004320	3412213412434321
0000041202340300	2143341212344321
2403030000004102	2413132432414132
0123004004001200	4123234134121234
0014000030414003	2314143232414123
0304100340020200	2314142341323241
3020021000000432	3124421323411432
2004032100120000	2134432134121243
0321003020003010	4321123421433412
1002040342300000	1342241342313124
0001132030400200	2431132431424213
0013030000400431	4213132431422431
0203431000000420	1243431221343421
4003021403001000	4123321423411432
0130321003400000	4132321423411423
0124001013000400	3124421313422431
0034300012030001	2134341212434321
0402300041000014	1432324141232314
0304203100030040	1324243142133142
0134001030000023	2134431232411423
3400004010300302	3421214312344312
0100301404302000	4123321414322341
0140003120000320	3142423124131324
2340100040300200	2341142341323214
0104200000424030	3124241313424231
4020320004010002	4123321424311342
4201100000022400	4231132431422413
1320020120000040	1324423124133142
4130004010002003	4132324113242413
0003014212000300	2413314212344321
1300003041203000	1342243141233214
0000312000402410	4231312413422413
4021200310000400	4321214312343412
0004031200002043	1234431234212143
0104001320000042	3124421324311342
2000010443021000	2431312443121243
3002203440000003	3412213443211243
0003430201202000	1243431231242431
0000031004212030	1243431234212134
3204000003400120	3214143223414123
4021203030000003	4321213434121243
0400013400000312	3421213412434312
2040030102003002	2143432112343412
4000104320040001	4312124321343421
0013000440020240	2413132441323241
4030030020130040	4231132424133142
1020043000024200	1324243131424213
0041042032040000	2341142332144132
3420210010000003	3421213413424213
0010004240313000	2413134242313124
3020014040020200	3421214343121234
4001020024103000	4321123424133142
3020100020000132	3421124323144132
0001204030100230	4321214334121234
0100241000040301	3142241312344321
0130000430010203	4132231434211243
0140000210004201	2143341213244231
4002230010000401	4132231412433421
1400200400300240	1423231441323241
0003342020000032	1243342123144132
0002400013200403	3142423113242413
1320400000013040	1324421324313142
4032030414000000	4132231414233241
0201102000403400	4231132421433412
